dataset,version,metric,parameter,mode,qwen2.5-1.5b-instruct-hf
ceval-computer_network,db9ce2,accuracy,文本问答,gen,68.42
ceval-operating_system,1c2571,accuracy,文本问答,gen,52.63
ceval-computer_architecture,a74dad,accuracy,文本问答,gen,76.19
ceval-college_programming,4ca32a,accuracy,文本问答,gen,70.27
ceval-college_physics,963fa8,accuracy,文本问答,gen,42.11
ceval-college_chemistry,e78857,accuracy,文本问答,gen,41.67
ceval-advanced_mathematics,ce03e2,accuracy,文本问答,gen,21.05
ceval-probability_and_statistics,65e812,accuracy,文本问答,gen,27.78
ceval-discrete_mathematics,e894ae,accuracy,文本问答,gen,43.75
ceval-electrical_engineer,ae42b9,accuracy,文本问答,gen,56.76
ceval-metrology_engineer,ee34ea,accuracy,文本问答,gen,87.5
ceval-high_school_mathematics,1dc5bf,accuracy,文本问答,gen,22.22
ceval-high_school_physics,adf25f,accuracy,文本问答,gen,84.21
ceval-high_school_chemistry,2ed27f,accuracy,文本问答,gen,52.63
ceval-high_school_biology,8e2b9a,accuracy,文本问答,gen,68.42
ceval-middle_school_mathematics,bee8d5,accuracy,文本问答,gen,57.89
ceval-middle_school_biology,86817c,accuracy,文本问答,gen,90.48
ceval-middle_school_physics,8accf6,accuracy,文本问答,gen,89.47
ceval-middle_school_chemistry,167a15,accuracy,文本问答,gen,95
ceval-veterinary_medicine,b4e08d,accuracy,文本问答,gen,73.91
ceval-college_economics,f3f4e6,accuracy,文本问答,gen,48
ceval-business_administration,c1614e,accuracy,文本问答,gen,54.55
ceval-marxism,cf874c,accuracy,文本问答,gen,78.95
ceval-mao_zedong_thought,51c7a4,accuracy,文本问答,gen,87.5
ceval-education_science,591fee,accuracy,文本问答,gen,79.31
ceval-teacher_qualification,4e4ced,accuracy,文本问答,gen,88.64
ceval-high_school_politics,5c0de2,accuracy,文本问答,gen,78.95
ceval-high_school_geography,865461,accuracy,文本问答,gen,73.68
ceval-middle_school_politics,5be3e7,accuracy,文本问答,gen,85.71
ceval-middle_school_geography,8a63be,accuracy,文本问答,gen,91.67
ceval-modern_chinese_history,fc01af,accuracy,文本问答,gen,86.96
ceval-ideological_and_moral_cultivation,a2aa4a,accuracy,文本问答,gen,100
ceval-logic,f5b022,accuracy,文本问答,gen,59.09
ceval-law,a110a1,accuracy,文本问答,gen,45.83
ceval-chinese_language_and_literature,0f8b68,accuracy,文本问答,gen,47.83
ceval-art_studies,2a1300,accuracy,文本问答,gen,63.64
ceval-professional_tour_guide,4e673e,accuracy,文本问答,gen,79.31
ceval-legal_professional,ce8787,accuracy,文本问答,gen,56.52
ceval-high_school_chinese,315705,accuracy,文本问答,gen,36.84
ceval-high_school_history,7eb30a,accuracy,文本问答,gen,70
ceval-middle_school_history,48ab4a,accuracy,文本问答,gen,90.91
ceval-civil_servant,87d061,accuracy,文本问答,gen,57.45
ceval-sports_science,70f27b,accuracy,文本问答,gen,68.42
ceval-plant_protection,8941f9,accuracy,文本问答,gen,59.09
ceval-basic_medicine,c409d6,accuracy,文本问答,gen,73.68
ceval-clinical_medicine,49e82d,accuracy,文本问答,gen,59.09
ceval-urban_and_rural_planner,95b885,accuracy,文本问答,gen,63.04
ceval-accountant,2837,accuracy,文本问答,gen,65.31
ceval-fire_engineer,bc23f5,accuracy,文本问答,gen,67.74
ceval-environmental_impact_assessment_engineer,c64e2d,accuracy,文本问答,gen,64.52
ceval-tax_accountant,3a5e3c,accuracy,文本问答,gen,61.22
ceval-physician,6e277d,accuracy,文本问答,gen,71.43
WiC,d06864,accuracy,文本分类,gen,54
